RIVER_NAME,Station_ID,Name,Date,Temperature(c),PH(m),DO(Mg/L),Salinity(ppt),TDS(Mg/L),EC(MicroS)/cm,FE(Mg/L),CI(Mg/L),,,,,
Turag,SW302,Mirpur,Sep-12-2004 12:00:00 AM,29.68,7.61,6.05,0.05,0.08,121.60,0.56,45.22,,,,,
Turag,SW302,Mirpur,Sep-10-2017 12:00:00 AM,29.30,7.00,0.63,0.00,57.30,114.60,0.17,12.20,,,,,
Turag,SW302,Mirpur,Sep-10-2002 12:00:00 AM,28.35,8.37,6.39,0.05,0.09,147.90,0.56,45.22,,,,,
Turag,SW302,Mirpur,Sep-09-2003 12:00:00 AM,29.59,7.07,6.19,0.05,0.07,114.50,0.56,45.22,,,,,
Turag,SW302,Mirpur,Sep-05-2011 12:00:00 AM,27.31,7.80,8.00,0.00,52.00,105.00,0.06,18.00,,,,,
Turag,SW302,Mirpur,Sep-01-2016 12:00:00 AM,25.70,6.71,0.25,0.00,70.80,141.50,0.63,14.50,,,,,
Turag,SW302,Mirpur,Sep-01-2015 12:00:00 AM,27.31,7.83,0.92,0.00,62.60,125.30,0.51,17.00,,,,,
Turag,SW302,Mirpur,Sep-01-2014 12:00:00 AM,27.31,6.54,4.30,0.00,69.70,139.50,0.06,7.25,,,,,
Turag,SW302,Mirpur,Sep-01-2014 12:00:00 AM,27.31,6.54,4.30,0.00,69.70,139.50,0.06,7.25,,,,,
Turag,SW302,Mirpur,Sep-01-2013 12:00:00 AM,27.31,7.33,8.10,0.00,81.10,162.20,0.03,13.50,,,,,
Turag,SW302,Mirpur,Sep-01-2012 12:00:00 AM,27.31,6.57,5.96,0.00,84.80,170.10,0.05,45.25,,,,,
Turag,SW302,Mirpur,Sep-01-2006 12:00:00 AM,25.00,8.00,7.10,0.00,0.58,120.00,1.00,14.00,,,,,
Turag,SW302,Mirpur,Oct-11-2004 12:00:00 AM,29.75,7.21,6.89,0.05,0.07,119.50,0.56,45.22,,,,,
Turag,SW302,Mirpur,Oct-10-2003 12:00:00 AM,29.57,7.27,7.25,0.05,0.07,111.50,0.56,45.22,,,,,
Turag,SW302,Mirpur,Oct-08-2002 12:00:00 AM,23.91,8.74,7.72,0.08,0.13,202.20,0.56,45.22,,,,,
Turag,SW302,Mirpur,Oct-05-2009 12:00:00 AM,27.31,7.40,6.48,0.10,192.50,385.00,0.15,50.00,,,,,
Turag,SW302,Mirpur,Oct-02-2017 12:00:00 AM,27.90,6.95,0.38,0.00,67.20,134.40,0.15,14.00,,,,,
Turag,SW302,Mirpur,Oct-02-2016 12:00:00 AM,20.60,0.00,63.10,0.00,63.10,126.30,0.75,12.60,,,,,
Turag,SW302,Mirpur,Oct-02-2011 12:00:00 AM,27.31,7.60,6.80,0.00,71.00,140.00,0.05,25.00,,,,,
Turag,SW302,Mirpur,Oct-01-2015 12:00:00 AM,27.31,7.66,0.73,0.00,54.70,109.60,0.18,15.30,,,,,
Turag,SW302,Mirpur,Oct-01-2014 12:00:00 AM,27.31,6.96,1.51,0.00,67.70,134.40,0.06,10.10,,,,,
Turag,SW302,Mirpur,Oct-01-2014 12:00:00 AM,27.31,6.96,1.51,0.00,67.70,134.40,0.06,10.10,,,,,
Turag,SW302,Mirpur,Oct-01-2012 12:00:00 AM,27.31,6.61,8.33,0.00,85.80,171.70,0.03,12.25,,,,,
Turag,SW302,Mirpur,Oct-01-2006 12:00:00 AM,26.00,8.10,7.10,0.00,0.62,130.00,0.00,11.00,,,,,
Turag,SW302,Mirpur,Nov-10-2007 12:00:00 AM,23.00,8.60,0.06,0.10,240.00,210.00,1.21,50.00,,,,,
Turag,SW302,Mirpur,Nov-10-2004 12:00:00 AM,27.05,7.81,5.13,0.05,0.07,112.30,0.56,45.22,,,,,
Turag,SW302,Mirpur,Nov-09-2003 12:00:00 AM,26.81,7.99,6.14,0.05,0.07,109.10,0.56,45.22,,,,,
Turag,SW302,Mirpur,Nov-07-2002 12:00:00 AM,20.89,8.78,6.95,0.09,0.15,232.00,0.56,45.22,,,,,
Turag,SW302,Mirpur,Nov-05-2009 12:00:00 AM,27.31,7.80,6.40,0.30,155.00,710.00,0.58,75.00,,,,,
Turag,SW302,Mirpur,Nov-04-2014 12:00:00 AM,27.31,6.75,2.75,0.10,141.10,282.00,0.00,35.00,,,,,
Turag,SW302,Mirpur,Nov-04-2012 12:00:00 AM,27.31,6.99,8.28,0.00,126.30,253.00,0.02,29.25,,,,,
Turag,SW302,Mirpur,Nov-04-2012 12:00:00 AM,27.31,6.99,8.28,0.00,126.30,253.00,0.02,29.25,,,,,
Turag,SW302,Mirpur,Nov-03-2013 12:00:00 AM,27.31,7.81,5.10,0.10,136.90,274.00,0.02,5.80,,,,,
Turag,SW302,Mirpur,Nov-01-2017 12:00:00 AM,25.00,7.02,0.48,0.00,62.10,124.20,0.10,12.50,,,,,
Turag,SW302,Mirpur,Nov-01-2016 12:00:00 AM,22.00,6.94,0.57,0.00,97.80,195.70,0.79,20.00,,,,,
Turag,SW302,Mirpur,Nov-01-2015 12:00:00 AM,27.31,6.99,1.11,0.10,142.20,284.00,0.12,35.40,,,,,
Turag,SW302,Mirpur,Nov-01-2011 12:00:00 AM,27.31,7.70,6.60,0.10,171.00,342.00,0.05,24.00,,,,,
Turag,SW302,Mirpur,Nov-01-2006 12:00:00 AM,25.00,8.00,7.10,0.00,2.17,430.00,0.00,19.00,,,,,
Turag,SW302,Mirpur,May-23-2008 12:00:00 AM,32.00,7.60,0.07,0.50,460.00,850.00,1.25,90.00,,,,,
Turag,SW302,Mirpur,May-11-2003 12:00:00 AM,30.28,8.44,5.47,0.05,0.07,106.80,0.56,45.22,,,,,
Turag,SW302,Mirpur,May-10-2004 12:00:00 AM,30.75,7.41,4.32,0.09,0.14,228.00,0.56,45.22,,,,,
Turag,SW302,Mirpur,May-04-2015 12:00:00 AM,27.31,7.37,4.67,0.10,208.00,417.00,0.30,45.22,,,,,
Turag,SW302,Mirpur,May-04-2014 12:00:00 AM,27.31,7.53,0.56,0.70,707.00,1415.00,0.04,287.50,,,,,
Turag,SW302,Mirpur,May-02-2017 12:00:00 AM,30.40,6.70,1.07,0.20,307.00,613.00,0.08,60.50,,,,,
Turag,SW302,Mirpur,May-02-2016 12:00:00 AM,28.70,7.22,0.49,0.00,81.80,163.50,0.19,15.75,,,,,
Turag,SW302,Mirpur,May-02-2013 12:00:00 AM,27.31,6.89,1.10,0.60,616.00,1231.00,0.03,97.50,,,,,
Turag,SW302,Mirpur,May-02-2010 12:00:00 AM,27.31,7.04,7.49,0.30,302.00,605.00,0.05,71.00,,,,,
Turag,SW302,Mirpur,May-02-2009 12:00:00 AM,29.00,7.00,8.20,0.15,52.00,618.00,0.20,45.00,,,,,
Turag,SW302,Mirpur,May-01-2012 12:00:00 AM,27.31,7.01,14.80,0.30,401.00,801.00,0.03,155.00,,,,,
Turag,SW302,Mirpur,May-01-2007 12:00:00 AM,27.00,7.40,6.92,0.14,4.83,964.00,1.00,103.00,,,,,
Turag,SW302,Mirpur,May-01-2005 12:00:00 AM,30.50,6.22,4.30,0.38,0.43,165.20,0.56,45.22,,,,,
Turag,SW302,Mirpur,Mar-12-2004 12:00:00 AM,29.93,6.93,4.12,0.11,0.17,273.60,0.56,45.22,,,,,
Turag,SW302,Mirpur,Mar-10-2008 12:00:00 AM,26.00,8.90,0.07,0.40,405.00,810.00,1.24,90.00,,,,,
Turag,SW302,Mirpur,Mar-09-2003 12:00:00 AM,29.85,8.82,5.67,0.09,0.13,213.30,0.56,45.22,,,,,
Turag,SW302,Mirpur,Mar-05-2013 12:00:00 AM,27.31,6.44,1.81,0.50,512.00,1025.00,0.01,8.70,,,,,
Turag,SW302,Mirpur,Mar-02-2014 12:00:00 AM,27.31,7.10,0.34,0.50,562.00,1124.00,0.03,146.00,,,,,
Turag,SW302,Mirpur,Mar-02-2009 12:00:00 AM,30.00,7.10,8.24,0.40,52.00,615.00,0.20,15.00,,,,,
Turag,SW302,Mirpur,Mar-01-2017 12:00:00 AM,31.10,6.72,7.96,0.40,472.00,944.00,0.02,95.00,,,,,
Turag,SW302,Mirpur,Mar-01-2016 12:00:00 AM,27.31,6.24,1.99,0.40,468.00,936.00,0.37,1.99,,,,,
Turag,SW302,Mirpur,Mar-01-2015 12:00:00 AM,27.31,7.62,9.41,0.60,604.00,1208.00,0.00,141.00,,,,,
Turag,SW302,Mirpur,Mar-01-2011 12:00:00 AM,27.31,7.40,2.30,0.50,558.00,1116.00,0.05,23.00,,,,,
Turag,SW302,Mirpur,Mar-01-2010 12:00:00 AM,27.31,7.00,1.48,0.40,485.00,971.00,0.09,88.00,,,,,
Turag,SW302,Mirpur,Mar-01-2007 12:00:00 AM,26.00,7.50,7.00,0.10,2.54,709.00,0.00,99.00,,,,,
Turag,SW302,Mirpur,Jun-23-2008 12:00:00 AM,29.00,736.00,0.08,0.50,455.00,960.00,1.26,97.00,,,,,
Turag,SW302,Mirpur,Jun-10-2003 12:00:00 AM,31.05,7.93,2.80,0.05,0.06,93.80,0.56,45.22,,,,,
Turag,SW302,Mirpur,Jun-09-2004 12:00:00 AM,31.04,7.59,5.89,0.05,0.08,126.30,0.56,45.22,,,,,
Turag,SW302,Mirpur,Jun-04-2017 12:00:00 AM,28.80,6.90,0.64,0.10,212.00,424.00,0.27,43.00,,,,,
Turag,SW302,Mirpur,Jun-03-2012 12:00:00 AM,27.31,6.80,23.10,0.40,489.00,979.00,0.00,0.00,,,,,
Turag,SW302,Mirpur,Jun-02-2013 12:00:00 AM,27.31,7.08,3.49,0.10,180.50,361.00,0.56,45.22,,,,,
Turag,SW302,Mirpur,Jun-02-2013 12:00:00 AM,27.31,7.08,3.49,0.10,180.50,361.00,0.02,34.25,,,,,
Turag,SW302,Mirpur,Jun-02-2009 12:00:00 AM,30.00,7.00,8.00,0.10,51.00,618.20,0.20,51.00,,,,,
Turag,SW302,Mirpur,Jun-01-2016 12:00:00 AM,29.20,6.75,0.43,0.00,75.30,150.70,0.47,15.00,,,,,
Turag,SW302,Mirpur,Jun-01-2015 12:00:00 AM,27.31,7.21,0.89,0.00,104.00,208.00,0.03,30.75,,,,,
Turag,SW302,Mirpur,Jun-01-2014 12:00:00 AM,27.31,7.01,1.21,0.60,620.00,1240.00,0.02,176.00,,,,,
Turag,SW302,Mirpur,Jun-01-2010 12:00:00 AM,27.31,7.25,2.57,0.10,132.00,263.00,0.78,24.00,,,,,
Turag,SW302,Mirpur,Jun-01-2007 12:00:00 AM,26.00,7.40,6.92,0.10,4.83,965.00,1.00,103.00,,,,,
Turag,SW302,Mirpur,Jun-01-2006 12:00:00 AM,28.90,4.64,4.30,0.00,0.52,142.80,1.00,3.00,,,,,
Turag,SW302,Mirpur,Jun-01-2005 12:00:00 AM,28.90,4.65,31.20,0.00,0.52,142.00,1.00,3.00,,,,,
Turag,SW302,Mirpur,Jul-12-2003 12:00:00 AM,30.01,7.87,5.14,0.05,0.06,103.40,0.56,45.22,,,,,
Turag,SW302,Mirpur,Jul-11-2016 12:00:00 AM,27.80,6.47,0.30,0.00,56.90,113.90,0.25,12.00,,,,,
Turag,SW302,Mirpur,Jul-08-2017 12:00:00 AM,28.90,6.44,0.94,0.00,59.70,119.30,0.52,11.50,,,,,
Turag,SW302,Mirpur,Jul-08-2004 12:00:00 AM,30.01,7.88,6.91,0.05,0.06,99.00,0.56,45.22,,,,,
Turag,SW302,Mirpur,Jul-04-2011 12:00:00 AM,27.31,7.40,8.60,0.00,86.00,174.00,0.90,32.00,,,,,
Turag,SW302,Mirpur,Jul-02-2015 12:00:00 AM,27.31,7.13,0.68,0.00,60.30,120.60,0.00,12.40,,,,,
Turag,SW302,Mirpur,Jul-02-2014 12:00:00 AM,27.31,7.04,4.87,0.00,67.70,135.40,0.16,11.00,,,,,
Turag,SW302,Mirpur,Jul-02-2014 12:00:00 AM,27.31,7.04,4.87,0.00,67.70,135.40,0.16,11.00,,,,,
Turag,SW302,Mirpur,Jul-01-2013 12:00:00 AM,27.31,6.85,7.60,0.10,180.40,361.00,0.02,29.50,,,,,
Turag,SW302,Mirpur,Jul-01-2012 12:00:00 AM,27.31,7.51,111.80,0.00,92.00,184.00,0.02,44.00,,,,,
Turag,SW302,Mirpur,Jul-01-2006 12:00:00 AM,28.90,4.64,4.30,0.00,0.52,142.80,1.00,35.00,,,,,
Turag,SW302,Mirpur,Jan-09-2004 12:00:00 AM,21.24,8.73,7.15,0.12,0.20,323.70,0.56,45.22,,,,,
Turag,SW302,Mirpur,Jan-08-2017 12:00:00 AM,29.10,7.00,0.64,0.00,63.10,126.10,0.54,12.50,,,,,
Turag,SW302,Mirpur,Jan-08-2003 12:00:00 AM,25.68,8.25,7.61,0.12,0.17,276.00,0.56,45.22,,,,,
Turag,SW302,Mirpur,Jan-07-2010 12:00:00 AM,27.31,7.40,1.66,0.40,467.00,933.00,0.05,40.50,,,,,
Turag,SW302,Mirpur,Jan-05-2005 12:00:00 AM,20.39,6.98,1.64,0.27,0.34,189.40,0.56,45.22,,,,,
Turag,SW302,Mirpur,Jan-04-2014 12:00:00 AM,27.31,6.75,2.75,0.10,141.10,282.00,0.00,35.00,,,,,
Turag,SW302,Mirpur,Jan-03-2016 12:00:00 AM,20.10,6.36,1.28,0.30,337.00,675.00,0.35,75.00,,,,,
Turag,SW302,Mirpur,Jan-02-2009 12:00:00 AM,29.00,7.10,7.20,0.30,55.00,620.00,0.20,15.00,,,,,
Turag,SW302,Mirpur,Jan-01-2017 12:00:00 AM,24.80,7.10,1.06,0.30,324.00,648.00,0.26,65.00,,,,,
Turag,SW302,Mirpur,Jan-01-2015 12:00:00 AM,27.31,7.36,8.30,0.30,260.00,699.00,0.31,85.00,,,,,
Turag,SW302,Mirpur,Jan-01-2014 12:00:00 AM,27.31,7.80,6.10,0.30,347.00,694.00,0.01,92.00,,,,,
Turag,SW302,Mirpur,Jan-01-2014 12:00:00 AM,22.70,7.09,1.45,0.00,40.10,79.70,0.22,7.00,,,,,
Turag,SW302,Mirpur,Jan-01-2013 12:00:00 AM,27.31,6.44,8.48,0.30,340.00,680.00,0.03,7.50,,,,,
Turag,SW302,Mirpur,Jan-01-2012 12:00:00 AM,27.31,7.50,5.90,0.30,353.00,705.00,0.05,20.00,,,,,
Turag,SW302,Mirpur,Jan-01-2007 12:00:00 AM,26.00,7.60,7.10,0.30,2.54,709.00,0.00,96.00,,,,,
Turag,SW302,Mirpur,Feb-10-2008 12:00:00 AM,22.00,8.30,0.06,0.10,106.00,211.00,1.22,30.00,,,,,
Turag,SW302,Mirpur,Feb-10-2004 12:00:00 AM,26.04,8.26,5.03,0.11,0.18,289.00,0.56,45.22,,,,,
Turag,SW302,Mirpur,Feb-10-2003 12:00:00 AM,33.15,8.64,4.13,0.11,0.16,256.40,0.56,45.22,,,,,
Turag,SW302,Mirpur,Feb-04-2010 12:00:00 AM,27.31,7.10,2.01,0.40,427.00,853.00,0.27,43.00,,,,,
Turag,SW302,Mirpur,Feb-03-2014 12:00:00 AM,27.31,7.13,10.00,0.40,420.00,840.00,0.03,98.00,,,,,
Turag,SW302,Mirpur,Feb-03-2013 12:00:00 AM,27.31,7.02,7.45,0.40,446.00,892.00,0.02,5.80,,,,,
Turag,SW302,Mirpur,Feb-02-2009 12:00:00 AM,29.00,7.10,7.10,1.70,51.00,618.20,0.19,14.00,,,,,
Turag,SW302,Mirpur,Feb-01-2017 12:00:00 AM,26.10,6.79,4.58,0.40,407.00,814.00,0.30,81.00,,,,,
Turag,SW302,Mirpur,Feb-01-2016 12:00:00 AM,27.80,6.43,2.76,0.40,423.00,845.00,0.30,88.90,,,,,
Turag,SW302,Mirpur,Feb-01-2015 12:00:00 AM,27.31,7.11,8.10,0.40,429.00,859.00,0.02,63.00,,,,,
Turag,SW302,Mirpur,Feb-01-2012 12:00:00 AM,27.31,7.70,6.70,0.50,491.00,982.00,0.05,77.00,,,,,
Turag,SW302,Mirpur,Feb-01-2011 12:00:00 AM,27.31,7.40,0.05,0.17,557.00,1114.00,0.50,25.00,,,,,
Turag,SW302,Mirpur,Feb-01-2007 12:00:00 AM,26.00,7.50,7.00,0.20,2.54,709.00,0.00,99.00,,,,,
Turag,SW302,Mirpur,Feb-01-2005 12:00:00 AM,20.88,5.63,1.65,0.28,0.35,172.30,0.56,45.22,,,,,
Turag,SW302,Mirpur,Dec-10-2004 12:00:00 AM,20.47,8.31,4.19,0.10,0.13,213.40,0.56,45.22,,,,,
Turag,SW302,Mirpur,Dec-10-2003 12:00:00 AM,20.17,8.70,7.21,0.09,0.14,231.00,0.56,45.22,,,,,
Turag,SW302,Mirpur,Dec-09-2002 12:00:00 AM,16.43,8.93,7.78,0.05,0.10,155.80,0.56,45.22,,,,,
Turag,SW302,Mirpur,Dec-05-2009 12:00:00 AM,27.31,7.50,6.30,0.30,358.00,716.00,0.86,55.00,,,,,
Turag,SW302,Mirpur,Dec-03-2017 12:00:00 AM,21.50,7.02,1.04,0.20,217.00,434.00,0.08,43.00,,,,,
Turag,SW302,Mirpur,Dec-03-2013 12:00:00 AM,27.31,8.06,6.10,0.20,285.00,571.00,0.01,5.90,,,,,
Turag,SW302,Mirpur,Dec-03-2012 12:00:00 AM,27.31,6.52,7.84,0.20,255.00,510.00,0.03,47.50,,,,,
Turag,SW302,Mirpur,Dec-01-2016 12:00:00 AM,22.30,7.08,2.53,0.20,255.00,511.00,0.76,45.00,,,,,
Turag,SW302,Mirpur,Dec-01-2015 12:00:00 AM,22.70,7.09,1.45,0.00,40.10,79.70,0.22,7.00,,,,,
Turag,SW302,Mirpur,Dec-01-2015 12:00:00 AM,22.70,7.09,1.45,0.00,40.10,79.70,0.22,7.00,,,,,
Turag,SW302,Mirpur,Dec-01-2014 12:00:00 AM,27.31,7.13,2.46,0.20,256.00,510.00,0.03,65.00,,,,,
Turag,SW302,Mirpur,Dec-01-2014 12:00:00 AM,27.31,7.13,2.46,0.20,256.00,510.00,0.03,65.00,,,,,
Turag,SW302,Mirpur,Dec-01-2006 12:00:00 AM,26.00,7.90,7.10,0.00,2.55,504.00,0.00,50.00,,,,,
Turag,SW302,Mirpur,Aug-11-2002 12:00:00 AM,30.13,8.12,7.25,0.05,0.08,126.59,0.56,45.22,,,,,
Turag,SW302,Mirpur,Aug-10-2007 12:00:00 AM,21.00,8.50,0.07,0.20,210.00,190.00,1.20,40.00,,,,,
Turag,SW302,Mirpur,Aug-10-2004 12:00:00 AM,30.06,8.00,7.05,0.05,0.08,126.34,0.56,45.22,,,,,
Turag,SW302,Mirpur,Aug-10-2003 12:00:00 AM,30.05,8.01,7.13,0.05,0.08,125.89,0.56,45.22,,,,,
Turag,SW302,Mirpur,Aug-04-2014 12:00:00 AM,27.31,6.68,2.22,0.00,66.10,132.20,0.04,5.75,,,,,
Turag,SW302,Mirpur,Aug-02-2015 12:00:00 AM,27.31,7.22,0.63,0.00,60.60,121.10,0.58,21.50,,,,,
Turag,SW302,Mirpur,Aug-01-2017 12:00:00 AM,29.10,7.00,0.64,0.00,63.10,126.10,0.54,12.50,,,,,
Turag,SW302,Mirpur,Aug-01-2016 12:00:00 AM,28.00,6.30,0.30,0.00,56.60,113.10,0.53,11.50,,,,,
Turag,SW302,Mirpur,Aug-01-2013 12:00:00 AM,27.31,7.28,6.66,0.00,121.40,243.00,0.02,19.50,,,,,
Turag,SW302,Mirpur,Aug-01-2012 12:00:00 AM,27.31,7.45,107.10,0.00,65.00,130.20,0.13,33.75,,,,,
Turag,SW302,Mirpur,Aug-01-2011 12:00:00 AM,27.31,7.80,8.20,0.00,86.00,173.00,0.14,27.00,,,,,
Turag,SW302,Mirpur,Aug-01-2006 12:00:00 AM,25.10,8.00,7.10,0.00,0.57,119.00,1.00,15.00,,,,,
Turag,SW302,Mirpur,Apr-27-2001 12:00:00 AM,30.30,7.21,7.60,0.17,544.00,1090.00,0.56,45.22,,,,,
Turag,SW302,Mirpur,Apr-23-2008 12:00:00 AM,31.00,7.60,0.07,0.40,462.00,838.00,1.25,90.00,,,,,
Turag,SW302,Mirpur,Apr-11-2004 12:00:00 AM,29.89,7.08,2.59,0.10,0.17,270.00,0.56,45.22,,,,,
Turag,SW302,Mirpur,Apr-10-2003 12:00:00 AM,30.27,8.78,5.04,0.06,0.11,171.90,0.56,45.22,,,,,
Turag,SW302,Mirpur,Apr-09-2005 12:00:00 AM,29.10,5.13,4.13,0.31,0.41,168.10,0.56,45.22,,,,,
Turag,SW302,Mirpur,Apr-03-2016 12:00:00 AM,28.10,6.31,1.80,0.50,571.00,1141.00,0.62,132.00,,,,,
Turag,SW302,Mirpur,Apr-03-2011 12:00:00 AM,27.31,7.10,4.80,0.50,495.00,992.00,0.12,20.00,,,,,
Turag,SW302,Mirpur,Apr-03-2011 12:00:00 AM,27.31,7.10,4.80,0.50,495.00,992.00,0.12,20.00,,,,,
Turag,SW302,Mirpur,Apr-02-2017 12:00:00 AM,30.40,6.60,1.67,0.40,492.00,984.00,0.09,97.50,,,,,
Turag,SW302,Mirpur,Apr-02-2009 12:00:00 AM,30.00,7.20,8.00,0.20,53.00,615.00,0.15,14.00,,,,,
Turag,SW302,Mirpur,Apr-01-2015 12:00:00 AM,27.31,7.57,1.98,0.50,497.00,995.00,0.40,124.00,,,,,
Turag,SW302,Mirpur,Apr-01-2014 12:00:00 AM,27.31,7.23,0.02,0.60,619.00,1237.00,0.01,267.50,,,,,
Turag,SW302,Mirpur,Apr-01-2013 12:00:00 AM,27.31,7.51,13.56,0.50,497.00,994.00,0.03,84.25,,,,,
Turag,SW302,Mirpur,Apr-01-2012 12:00:00 AM,27.31,8.98,0.28,0.05,516.00,1050.00,0.01,198.00,,,,,
Turag,SW302,Mirpur,Apr-01-2010 12:00:00 AM,27.31,6.89,5.74,0.50,530.00,1060.00,0.14,125.00,,,,,
Turag,SW302,Mirpur,Apr-01-2007 12:00:00 AM,26.00,7.40,7.00,0.10,4.00,801.00,0.00,100.00,,,,,
