RIVER_NAME,Station_ID,Name,Date,Temperature(c),PH(m),DO(Mg/L),Salinity(ppt),TDS(Mg/L),EC(MicroS)/cm,FE(Mg/L),CI(Mg/L),,,,,
Lakhya,SW180,Narayanganj,2/1/2009,30.5,7.5,8.1,0.1,222,448.8,0.15,30,,,,,
Lakhya,SW179,Demra,2/1/2009,30.4,7.95,6.9,0.2,19,55,0.6,14,,,,,
Dhaleswari,SW69,Savar,1/2/2009,29,7.3,8.1,1.4,31,286,0.2,35,,,,,
Dhaleswari,SW70,Kalatia_Outfall,1/2/2009,29,7.7,8,0.1,32,308,0.2,25,,,,,
Tongi Khal,SW299,Tongi,1/2/2009,29,7.1,8.21,1.4,38,390,0.65,20,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,1/1/2009,30,7.3,8.2,1,43,440,1,45,,,,,
Balu,SW7.5,Demra,1/1/2009,30,7.1,8.15,0.9,26,180,0.6,25,,,,,
Lakhya,SW180,Narayanganj,1/1/2009,30,7.2,8.13,0.2,224,448,0.14,30,,,,,
Lakhya,SW179,Demra,1/1/2009,30,7.9,6.9,0.3,34,68,0.6,14,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,12/18/2008,30,7.2,8.2,1.3,42,440,0.75,45,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,11/8/2008,23,7.9,0.06,0.6,485,976,0.96,160,,,,,
Tongi Khal,SW299,Tongi,11/1/2008,24,7.9,0.05,0.3,320,670,1.3,100,,,,,
Dhaleswari,SW70,Kalatia_Outfall,8/18/2008,31,7.8,0.07,0.05,420,900,1.08,22,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,6/18/2008,27,7.5,0.07,0.44,550,991,0.9,160,,,,,
Dhaleswari,SW70,Kalatia_Outfall,6/18/2008,32,9.4,0.06,0.02,260,560,1.07,28,,,,,
Lakhya,SW180,Narayanganj,6/18/2008,30,7.6,0.12,0.2,382,550,1.2,82,,,,,
Balu,SW7.5,Demra,6/17/2008,28,7.5,0.07,0.2,302,612,1.14,110,,,,,
Dhaleswari,SW69,Savar,6/12/2008,30,8.7,0.66,0.04,492,1000,0.98,112,,,,,
Lakhya,SW179,Demra,6/3/2008,29,7.5,0.1,0.06,300,600,1.2,70,,,,,
Tongi Khal,SW299,Tongi,6/1/2008,28,8.6,0.11,0.3,40,800,1.11,100,,,,,
Tongi Khal,SW299,Tongi,5/23/2008,29,8.9,0.1,0.3,445,805,1.1,100,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,5/18/2008,31,735,0.07,0.45,530,990,0.92,140,,,,,
Dhaleswari,SW70,Kalatia_Outfall,5/18/2008,32,9.5,0.07,0.03,250,500,1.08,40,,,,,
Dhaleswari,SW69,Savar,5/18/2008,29,8.7,0.06,0.04,508,1015,1.02,121,,,,,
Lakhya,SW180,Narayanganj,5/18/2008,30,7.3,0.1,0.2,375,560,1.21,80,,,,,
Balu,SW7.5,Demra,5/17/2008,32,7.7,0.08,0.28,312,660,1.13,100,,,,,
Lakhya,SW179,Demra,5/3/2008,29,7.5,0.08,0.05,300,600,1.2,70,,,,,
Tongi Khal,SW299,Tongi,4/23/2008,32.5,8.5,0.06,0.4,443,880,1.12,100,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,4/18/2008,31,7.3,0.07,0.45,537,994,0.97,140,,,,,
Dhaleswari,SW69,Savar,4/18/2008,36,9.1,0.07,0.05,239,1085,0.92,130,,,,,
Dhaleswari,SW70,Kalatia_Outfall,4/18/2008,32,9.4,0.07,0.02,239,452,1.09,50,,,,,
Lakhya,SW180,Narayanganj,4/18/2008,28,7.4,0.07,0.2,380,569,1.13,80,,,,,
Balu,SW7.5,Demra,4/17/2008,32,8.1,0.07,0.3,417,775,1.13,100,,,,,
Lakhya,SW179,Demra,4/17/2008,32,7.6,0.07,0.04,352,653,1.41,75,,,,,
Dhaleswari,SW70,Kalatia_Outfall,3/18/2008,24,8.8,0.07,0.02,257,513,1.15,30,,,,,
Dhaleswari,SW69,Savar,3/18/2008,23,8.9,0.06,0.4,476,952,1.2,98,,,,,
Lakhya,SW180,Narayanganj,3/18/2008,30,7.7,0.08,0.3,316,770,1.21,95,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,3/8/2008,26,7.9,0.07,0.4,242,484,0.95,150,,,,,
Balu,SW7.5,Demra,3/3/2008,26,7.7,0.07,0.3,347,698,1.12,100,,,,,
Lakhya,SW179,Demra,3/3/2008,26,7.9,0.05,0.03,340,680,1.32,75,,,,,
Tongi Khal,SW299,Tongi,3/1/2008,26,6.8,0.04,0.3,387,774,1.3,100,,,,,
Dhaleswari,SW70,Kalatia_Outfall,2/18/2008,22,8,0.06,0.07,851,1702,1.3,1.3,,,,,
Lakhya,SW180,Narayanganj,2/18/2008,22,7.6,0.06,0.4,366,650,1.2,86,,,,,
Dhaleswari,SW69,Savar,2/16/2008,22,0.8,0.07,0.6,620,1239,1.12,60,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,2/8/2008,22,7.8,0.07,0.5,484,969,0.93,160,,,,,
Balu,SW7.5,Demra,2/3/2008,21,8.2,0.06,0.1,178,657,1.1,120,,,,,
Lakhya,SW179,Demra,2/3/2008,22,8,0.02,0.06,620,1239,1.4,60,,,,,
Tongi Khal,SW299,Tongi,2/1/2008,22,7.9,0.02,0.2,3.25,6.46,1.4,75,,,,,
Dhaleswari,SW70,Kalatia_Outfall,11/18/2007,26,7.8,0.07,0.06,6400,1400,1.12,25,,,,,
Lakhya,SW180,Narayanganj,11/18/2007,26,7.5,0.06,0.2,345,600,1.1,80,,,,,
Dhaleswari,SW69,Savar,11/16/2007,26,8,0.07,0.06,600,1250,1,70,,,,,
Balu,SW7.5,Demra,11/3/2007,21,7.2,0.08,0.12,178,660,1.1,120,,,,,
Lakhya,SW179,Demra,11/3/2007,24,7,0.05,0.02,500,1100,1.3,60,,,,,
Lakhya,SW180,Narayanganj,8/18/2007,32,7.5,0.07,0.3,300,690,1.13,80,,,,,
Dhaleswari,SW69,Savar,8/16/2007,31,8,0.07,0.05,560,1200,0.98,80,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,8/8/2007,32,8,0.06,0.5,480,1000,0.9,150,,,,,
Balu,SW7.5,Demra,8/3/2007,32,8.2,0.07,0.1,329,666,1.1,120,,,,,
Lakhya,SW179,Demra,8/3/2007,32,7,0.06,0.03,350,840,1.12,50,,,,,
Tongi Khal,SW299,Tongi,8/1/2007,32,7.8,0.06,0.2,3.25,700,1.12,98,,,,,
Dhaleswari,SW69,Savar,6/16/2007,25,8.1,6.24,0.01,520,1150,0,50,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,6/8/2007,25.4,7.6,6.67,0.1,423,836,0,101,,,,,
Balu,SW7.5,Demra,6/3/2007,22,7.8,6.7,0.1,67,520,0,70,,,,,
Lakhya,SW179,Demra,6/3/2007,24.1,7.7,6.9,0.1,72,587,0,74,,,,,
Tongi Khal,SW299,Tongi,6/1/2007,26.1,7.5,6.12,0.01,386,806,0,50.40,,,,,
Dhaleswari,SW69,Savar,5/16/2007,25,8.1,6.24,0.02,522,1161,0,137,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,5/8/2007,25,7.6,6.68,0.1,423,8.36,0,101,,,,,
Balu,SW7.5,Demra,5/3/2007,20,7.8,6.72,0.1,68,518,0,70,,,,,
Lakhya,SW179,Demra,5/3/2007,24.1,7.8,7.1,0.1,72,587,0,75,,,,,
Tongi Khal,SW299,Tongi,5/1/2007,26,7.6,6.12,0.01,363,725,0,50.40,,,,,
Dhaleswari,SW69,Savar,4/16/2007,26,8,6.45,0.01,405,900,0,130,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,4/8/2007,24,7.6,6.7,0.2,381,769,0,102,,,,,
Balu,SW7.5,Demra,4/3/2007,26,7.53,6.52,0.01,68,515,0,76,,,,,
Lakhya,SW179,Demra,4/3/2007,24,7.8,6.2,0.09,72,590,0,75,,,,,
Tongi Khal,SW299,Tongi,4/1/2007,26,7.6,6.12,0.01,363,725,0,50.40,,,,,
Dhaleswari,SW69,Savar,3/16/2007,25,8,6.85,0.3,315,700,0,90,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,3/8/2007,22,7.4,7,0.2,380,760,0,103,,,,,
Balu,SW7.5,Demra,3/3/2007,25,7.5,6.42,0.01,67,500,0,82,,,,,
Tongi Khal,SW299,Tongi,3/1/2007,28,7.7,6.13,0.01,350,730,0,50.40,,,,,
Dhaleswari,SW69,Savar,2/16/2007,26,7.8,6.85,0.3,305,675,0,45,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,2/8/2007,23,7.2,7,0.2,378,750,0,102,,,,,
Balu,SW7.5,Demra,2/3/2007,26,7.5,6.42,0.01,68,500,0,83,,,,,
Lakhya,SW179,Demra,2/3/2007,25,7.8,6.8,0.3,72,600,0,93,,,,,
Tongi Khal,SW299,Tongi,2/1/2007,27,7.9,6.14,0.02,330,700,0,50.40,,,,,
Dhaleswari,SW69,Savar,1/16/2007,25,7.8,6.85,0.3,315,685,0,45,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,1/8/2007,25,7.2,7.01,0.3,377,746,0,103,,,,,
Balu,SW7.5,Demra,1/3/2007,26,7.6,6.49,0.02,69,501,0,83,,,,,
Lakhya,SW179,Demra,1/3/2007,25,7.7,6.8,0.03,73,614,0,90,,,,,
Tongi Khal,SW299,Tongi,1/1/2007,26,7.8,6.15,0.3,332,714,0,50.40,,,,,
Dhaleswari,SW69,Savar,12/16/2006,26,7.8,6.85,0.1,215,456,0,35,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,12/8/2006,26,7.4,6.4,0,273,546,0,100,,,,,
Balu,SW7.5,Demra,12/3/2006,25,7.5,6.5,0,170,350,0,18,,,,,
Lakhya,SW179,Demra,12/3/2006,25,7.7,6.58,0.01,75,465,0,95,,,,,
Tongi Khal,SW299,Tongi,12/1/2006,26,7.8,6.2,0.01,92,192,0,50.40,,,,,
Dhaleswari,SW69,Savar,11/16/2006,25,8.2,6.75,0.1,75,157,0,13,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,11/8/2006,27,7.5,6.4,0,77,153,0,12,,,,,
Balu,SW7.5,Demra,11/3/2006,26,7.9,6.5,0,70,150,0,19,,,,,
Lakhya,SW179,Demra,11/3/2006,24.9,7.8,6.6,0,75,162,0,29,,,,,
Tongi Khal,SW299,Tongi,11/1/2006,26,7.8,6.1,0,61,133,0,50.40,,,,,
Dhaleswari,SW69,Savar,10/16/2006,25,8.2,6.76,0,75,157,0,13,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,10/8/2006,26,7.8,6.5,0,77,152,0,12,,,,,
Balu,SW7.5,Demra,10/3/2006,25,7.9,6.5,0,71,150,0,18,,,,,
Lakhya,SW179,Demra,10/3/2006,25.5,8,6.61,0,76,160,0,21,,,,,
Tongi Khal,SW299,Tongi,10/1/2006,26.1,7.9,6.2,0,63,132,0,50.40,,,,,
Dhaleswari,SW69,Savar,9/16/2006,25,8.1,6.76,0,65,137,0,15,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,9/8/2006,25.2,8,6.35,0,63,133,0,16,,,,,
Balu,SW7.5,Demra,9/3/2006,26,8,6.4,0,85,170,0,20,,,,,
Lakhya,SW179,Demra,9/3/2006,25.4,7.9,6.62,0,64,144,1,19,,,,,
Tongi Khal,SW299,Tongi,9/1/2006,25.5,7.25,6.19,0,63,125,1,50.40,,,,,
Dhaleswari,SW69,Savar,8/16/2006,25,8.1,6.76,0,59,124,0,15,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,8/8/2006,25.2,8.1,6.37,0,63,132,0,16,,,,,
Balu,SW7.5,Demra,8/3/2006,24.4,8,6.39,0,85,177,0,22,,,,,
Lakhya,SW179,Demra,8/3/2006,25.3,7.9,6.64,0,65,136,1,17,,,,,
Tongi Khal,SW299,Tongi,8/1/2006,25.4,7.3,5.18,0,62,130,1,50.40,,,,,
Dhaleswari,SW69,Savar,7/16/2006,25,8.1,7.3,0,50,124,0,15,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,7/8/2006,30,7.86,5.8,0,88,160,0,16,,,,,
Balu,SW7.5,Demra,7/3/2006,25,8,5,0.01,85,200,0,20,,,,,
Lakhya,SW179,Demra,7/3/2006,28.3,7.77,3,0.05,13,289,0,17,,,,,
Tongi Khal,SW299,Tongi,7/1/2006,26,7.2,6,0,61,125,1,50.40,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,6/8/2006,30.48,7.86,5.78,0.1,110,172.15,0,15,,,,,
Balu,SW7.5,Demra,6/3/2006,27.8,8.2,4.5,0.05,100,200,0,10,,,,,
Lakhya,SW179,Demra,6/3/2006,28.4,7.79,3,0.05,145,290,0,,,,,,
Tongi Khal,SW299,Tongi,6/1/2006,31.25,7.3,6.8,0.01,62,805,0.49,50.40,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,6/1/2005,31.5,7.2,4.85,0.35,0.11,175.5,0.29,49.43,,,,,
Lakhya,SW179,Demra,6/1/2005,30.5,6.92,4.5,0.62,0.28,205.2,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,5/1/2005,30.8,6.85,4.52,0.48,0.1,165.2,0.29,49.43,,,,,
Lakhya,SW179,Demra,5/1/2005,29.2,6.2,3.85,0.48,0.25,215.2,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,4/9/2005,29.32,6.3,4.12,0.42,0.08,168.3,0.29,49.43,,,,,
Lakhya,SW179,Demra,4/9/2005,28.96,5.18,3.24,0.39,0.25,204.3,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,3/5/2005,28.59,5.57,3.57,0.39,0.49,213.2,0.29,49.43,,,,,
Lakhya,SW179,Demra,3/5/2005,27.9,4.38,3.17,0.28,0.36,223.9,0.72,,,,,,
Lakhya,SW179,Demra,2/3/2005,27.06,7.19,4.71,1.73,237.02,421.97,0.72,,,,,,
Lakhya,SW179,Demra,2/2/2005,20.88,6.3,1.39,0.2,0.25,198,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,2/1/2005,20.89,6.29,1.98,0.33,0.41,194.2,0.29,49.43,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,1/10/2005,20.34,7.38,1.74,0.29,0.37,154.4,0.29,49.43,,,,,
Lakhya,SW179,Demra,1/5/2005,20.27,6.8,1.1,0.04,0.07,109.6,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,12/10/2004,17.15,7.03,1.63,0.14,0.17,258.8,0.29,49.43,,,,,
Lakhya,SW179,Demra,12/10/2004,19.7,8.04,4.01,0.09,0.14,217.4,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,11/10/2004,25.49,7.46,3.95,0.11,0.13,209.41,0.29,49.43,,,,,
Lakhya,SW179,Demra,11/10/2004,26.28,7.83,4.93,0.08,0.07,116.3,0.72,,,,,,
Lakhya,SW179,Demra,10/11/2004,28.98,7.21,6.19,0.07,0.08,123.5,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,10/4/2004,29.51,8.01,2.89,0.06,0.1,160.53,0.29,49.43,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,9/12/2004,30.54,8.21,4.01,0.05,0.09,135.95,0.29,49.43,,,,,
Lakhya,SW179,Demra,9/12/2004,28.91,7.61,6,0.08,0.08,125.6,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,8/10/2004,30.29,8.53,4.59,0.05,0.08,125.3,0.29,49.43,,,,,
Lakhya,SW179,Demra,8/10/2004,29.43,8.39,7,0.05,0.08,128.14,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,7/8/2004,30.48,7.73,3.45,0.06,0.1,149.45,0.29,49.43,,,,,
Lakhya,SW179,Demra,7/8/2004,29.24,7.51,6.39,0.06,0.07,103,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,6/9/2004,30.48,7.86,5.78,0.1,0.11,172.15,0.29,49.43,,,,,
Lakhya,SW179,Demra,6/9/2004,30.27,7.22,4.95,0.05,0.15,232,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,5/10/2004,31.49,8.08,4.23,0.1,0.12,189.25,0.29,49.43,,,,,
Lakhya,SW179,Demra,5/10/2004,29.98,7.04,4.23,0.05,0.15,232,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,4/12/2004,30.48,7.07,5.23,0.09,0.1,163,0.29,49.43,,,,,
Lakhya,SW179,Demra,4/11/2004,29.12,6.96,2.43,0.09,0.18,274,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,3/12/2004,29.19,6.88,4.91,0.14,0.16,252.61,0.29,49.43,,,,,
Lakhya,SW179,Demra,3/12/2004,29.16,6.9,3.89,0.11,0.18,277.6,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,2/10/2004,25.44,6.95,2.95,0.14,0.17,259.14,0.29,49.43,,,,,
Lakhya,SW179,Demra,2/10/2004,25.27,7.89,4.12,0.1,0.19,293,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,1/9/2004,14.23,7.22,3.54,1.15,0.19,291.41,0.29,49.43,,,,,
Lakhya,SW179,Demra,1/9/2004,20.47,8.36,6.38,0.09,0.21,327.7,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,12/10/2003,16.43,8.13,3.32,0.13,0.17,259.48,0.29,49.43,,,,,
Lakhya,SW179,Demra,12/10/2003,19.4,8.33,6.29,0.1,0.15,235,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,11/9/2003,20.51,8.53,3.98,0.13,0.17,264.45,0.29,49.43,,,,,
Lakhya,SW179,Demra,11/9/2003,26.4,7.62,5.31,0.08,0.07,113.1,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,10/10/2003,26.43,7.58,4.13,0.12,0.14,224,0.29,49.43,,,,,
Lakhya,SW179,Demra,10/10/2003,28.8,6.9,6.51,0.06,0.07,115.5,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,9/9/2003,29.39,7.09,3.31,0.1,0.11,176.09,0.29,49.43,,,,,
Lakhya,SW179,Demra,9/9/2003,29.39,6.93,4.31,0.05,0.1,155.89,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,8/10/2003,29.91,8.49,5,0.05,0.08,126.8,0.29,49.43,,,,,
Lakhya,SW179,Demra,8/10/2003,29.59,8.55,7.05,0.05,0.08,129.39,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,7/12/2003,30.45,8.59,2.99,0.1,0.11,175.98,0.29,49.43,,,,,
Lakhya,SW179,Demra,7/12/2003,29.24,7.5,5.14,0.05,0.06,99.4,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,6/10/2003,31.3,8.63,1.03,0.1,0.12,179.58,0.29,49.43,,,,,
Lakhya,SW179,Demra,6/10/2003,30.28,2.14,0.05,0.06,92.3,421.97,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,5/11/2003,29.4,8.52,0.91,0.11,0.13,208.29,0.29,49.43,,,,,
Lakhya,SW179,Demra,5/11/2003,29.51,8.07,4.19,0.05,0.07,107.8,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,4/10/2003,29.87,8.3,3.68,0.14,0.16,248.06,0.29,49.43,,,,,
Lakhya,SW179,Demra,4/10/2003,29.5,8.41,4,0.05,0.11,176.9,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,3/9/2003,29.41,8.18,3.23,0.15,0.17,272,0.29,49.43,,,,,
Lakhya,SW179,Demra,3/9/2003,29.08,8.45,4.37,0.08,0.14,221.5,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,2/22/2003,24.64,0.19,3.59,0.19,2458,384.7,0.29,49.43,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,2/10/2003,29.44,8.03,2.29,0.14,0.18,287.63,0.29,49.43,,,,,
Lakhya,SW179,Demra,2/10/2003,32.38,8.27,4,0.09,0.17,259.9,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,1/8/2003,20.33,7.94,1.93,0.12,0.16,250.1,0.29,49.43,,,,,
Lakhya,SW179,Demra,1/8/2003,24.91,7.88,6.13,0.1,0.18,280.3,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,12/9/2002,16.59,8.09,5.16,0.12,0.17,260.19,0.29,49.43,,,,,
Lakhya,SW179,Demra,12/9/2002,15.66,8.56,7.18,0.06,0.1,159.8,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,11/7/2002,21.6,8.04,4.93,0.12,0.16,243.5,0.29,49.43,,,,,
Lakhya,SW179,Demra,11/7/2002,20.12,8.41,6.05,0.09,0.15,236,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,10/8/2002,25.01,8.44,4.21,0.11,0.13,203.58,0.29,49.43,,,,,
Lakhya,SW179,Demra,10/8/2002,23.14,8.37,7.69,0.08,0.13,206.2,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,9/10/2002,28.5,8.15,4.3,0.06,0.11,170.29,0.29,49.43,,,,,
Lakhya,SW179,Demra,9/10/2002,27.58,8,6.3,0.05,0.1,151.4,0.72,,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,8/9/2002,29.8,8.37,5.3,0.05,0.08,124.7,0.29,49.43,,,,,
Lakhya,SW179,Demra,8/9/2002,29.34,8.49,7.18,0.05,0.08,130.7,0.72,,,,,,
Balu,SW7.5,Demra,4/26/2001,30.7,7.5,7.3,0.18,460,920,0.29,49.43,,,,,
Dhaleswari,SW69,Savar,4/26/2001,30.5,7.7,7.3,0.02,465,921,0,50,,,,,
Balu,SW7.5,Demra,4/25/2001,31,7.95,6.4,0.18,77.6,155.05,0.29,49.43,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,4/23/2001,29.1,7.49,7.6,0.18,196.5,393,0.29,49.43,,,,,
Dhaleswari,SW70,Kalatia_Outfall,4/23/2001,29.5,7.26,7.4,0.02,194.7,389,0,50,,,,,
Buriganga,SW42,Dhaka_Mill Barrack,4/22/2001,31.4,6.8,7,0.18,247.5,495,0.29,49.43,,,,,
Lakhya,SW179,Demra,4/21/2001,30.1,7.77,7.1,0.13,303,606,0.33,,,,,,
Balu,SW7.5,Demra,4/20/2001,33.2,7.8,6.7,0.18,124.8,248,0.29,49.43,,,,,
Lakhya,SW179,Demra,4/19/2001,32.1,7.66,7.7,1.73,124,248,0.72,,,,,,
Lakhya,SW180,Narayanganj,4/19/2001,31.1,7.61,6.9,1.73,90.8,181.3,0.72,,,,,,
Tongi Khal,SW299,Tongi,4/14/2001,30.8,7.85,6.8,0.27,357,715,0.49,50.40,,,,,
